label,PNS,FAN,ETH,accuracy,latency
PNS=20_FAN=15_ETH=0.3,20,15,0.3,0.873,0.20954306960105895
PNS=20_FAN=15_ETH=0.5,20,15,0.5,0.852,0.2075451729297638
PNS=20_FAN=15_ETH=0.7,20,15,0.7,0.775,0.20757651829719542
PNS=20_FAN=30_ETH=0.3,20,30,0.3,0.9,0.2107439374923706
PNS=20_FAN=30_ETH=0.5,20,30,0.5,0.898,0.21062022876739503
PNS=20_FAN=30_ETH=0.7,20,30,0.7,0.858,0.20956240558624267
PNS=20_FAN=50_ETH=0.3,20,50,0.3,0.927,0.21463785934448243
PNS=20_FAN=50_ETH=0.5,20,50,0.5,0.899,0.21378684425354003
PNS=20_FAN=50_ETH=0.7,20,50,0.7,0.872,0.21309383392333983
PNS=30_FAN=15_ETH=0.3,30,15,0.3,0.723,0.20504240298271179
PNS=30_FAN=15_ETH=0.5,30,15,0.5,0.69,0.20563896012306213
PNS=30_FAN=15_ETH=0.7,30,15,0.7,0.652,0.2050861885547638
PNS=30_FAN=30_ETH=0.3,30,30,0.3,0.803,0.20635887455940247
PNS=30_FAN=30_ETH=0.5,30,30,0.5,0.788,0.20595787954330444
PNS=30_FAN=30_ETH=0.7,30,30,0.7,0.762,0.2062536976337433
PNS=30_FAN=50_ETH=0.3,30,50,0.3,0.86,0.20712495493888855
PNS=30_FAN=50_ETH=0.5,30,50,0.5,0.857,0.20727123808860778
PNS=30_FAN=50_ETH=0.7,30,50,0.7,0.84,0.20676234340667723
PNS=40_FAN=15_ETH=0.3,40,15,0.3,0.555,0.20425510025024415
PNS=40_FAN=15_ETH=0.5,40,15,0.5,0.527,0.20536739683151245
PNS=40_FAN=15_ETH=0.7,40,15,0.7,0.505,0.20496973657608034
PNS=40_FAN=30_ETH=0.3,40,30,0.3,0.717,0.20475009846687317
PNS=40_FAN=30_ETH=0.5,40,30,0.5,0.698,0.20533038711547852
PNS=40_FAN=30_ETH=0.7,40,30,0.7,0.661,0.20451276230812074
PNS=40_FAN=50_ETH=0.3,40,50,0.3,0.814,0.20516668581962585
PNS=40_FAN=50_ETH=0.5,40,50,0.5,0.793,0.20534939312934875
PNS=40_FAN=50_ETH=0.7,40,50,0.7,0.764,0.2059737801551819
